Resale-Cat,fuel_type,vehicle_class,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
0,3,5,2,0,6,15.0,17.0,1,3,1,555.0,103217,106583,20848
0,3,2,8,1,5,18.0,23.0,2,4,1,444.0,178914,185615,228947
0,3,2,8,0,7,19.0,24.0,2,5,1,430.0,178914,185615,228947
0,3,2,8,0,5,19.0,24.0,2,5,1,430.0,178914,185615,228947
0,3,2,6,1,7,17.0,21.0,2,4,1,471.0,178914,185615,228947
0,3,2,6,1,5,17.0,21.0,2,4,1,471.0,178914,185615,228947
0,3,2,8,1,7,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,1,5,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,0,7,19.0,23.0,2,5,1,424.0,178914,185615,228947
0,3,2,8,1,7,18.0,23.0,2,4,1,444.0,178914,185615,228947
0,3,2,8,0,5,19.0,23.0,2,5,1,424.0,178914,185615,228947
0,3,2,5,1,5,19.0,21.0,2,4,1,449.0,178914,185615,228947
0,3,6,7,0,6,17.0,22.0,2,4,1,466.0,104456,119597,130025
0,3,6,7,0,5,17.0,22.0,2,4,1,466.0,104456,119597,130025
0,3,2,3,0,6,18.0,24.0,2,4,1,446.0,207299,204211,30244
0,3,2,3,0,5,18.0,24.0,2,4,1,446.0,207299,204211,30244
0,3,2,2,0,6,16.0,23.0,2,4,1,479.0,207299,204211,30244
0,3,2,2,0,5,16.0,23.0,2,4,1,479.0,207299,204211,30244
0,3,2,2,1,6,17.0,24.0,2,4,1,450.0,35179,30047,5042
0,3,2,5,1,7,19.0,21.0,2,4,1,449.0,178914,185615,228947
0,3,2,2,0,6,20.0,26.0,2,5,1,405.0,103217,106583,20848
0,3,2,2,0,6,20.0,26.0,2,5,1,405.0,103217,106583,20848
0,3,2,2,1,6,19.0,24.0,2,4,1,423.0,103217,106583,20848
0,3,2,2,1,6,19.0,24.0,2,4,1,423.0,35179,30047,5042
0,3,2,2,1,6,19.0,24.0,2,4,1,423.0,35179,30047,5042
0,3,2,2,0,6,20.0,26.0,2,5,1,405.0,35179,30047,5042
0,3,2,2,0,6,20.0,26.0,2,5,1,405.0,35179,30047,5042
0,3,2,3,0,6,18.0,24.0,2,4,1,447.0,537013,550311,94829
0,3,2,3,0,5,18.0,24.0,2,4,1,447.0,537013,550311,94829
0,3,2,2,0,6,16.0,23.0,2,4,1,479.0,537013,550311,94829
0,3,2,2,0,5,16.0,23.0,2,4,1,479.0,537013,550311,94829
0,0,2,2,1,6,19.0,22.0,2,3,1,506.0,103217,106583,20848
0,0,2,2,1,6,19.0,22.0,2,3,1,506.0,103217,106583,20848
0,3,2,3,1,7,17.0,24.0,2,4,1,461.0,103217,106583,20848
0,3,2,3,1,7,17.0,24.0,2,4,1,461.0,103217,106583,20848
0,3,2,3,0,7,18.0,25.0,2,4,1,440.0,103217,106583,20848
0,3,2,3,0,7,18.0,25.0,2,4,1,440.0,103217,106583,20848
0,0,2,2,1,6,20.0,28.0,2,4,1,449.0,103217,106583,20848
0,0,2,2,1,6,20.0,28.0,2,4,1,449.0,103217,106583,20848
0,3,2,6,0,6,19.0,26.0,2,5,1,408.0,103217,106583,20848
0,3,2,6,0,6,19.0,26.0,2,5,1,408.0,103217,106583,20848
0,3,2,2,1,6,19.0,24.0,2,4,1,423.0,103217,106583,20848
0,3,2,2,1,6,17.0,24.0,2,4,1,450.0,35179,30047,5042
0,3,2,6,0,6,19.0,26.0,2,5,1,408.0,35179,30047,5042
0,3,2,2,0,6,18.0,26.0,2,5,1,427.0,35179,30047,5042
0,0,2,2,1,6,20.0,29.0,2,4,1,445.0,35179,30047,5042
0,3,2,3,0,3,16.0,22.0,1,3,1,495.0,207299,204211,30244
0,3,2,3,0,3,16.0,22.0,1,3,1,495.0,207299,204211,30244
0,3,5,2,1,3,15.0,19.0,1,3,1,523.0,207299,204211,30244
0,3,2,2,1,3,16.0,22.0,1,3,1,489.0,207299,204211,30244
0,3,5,2,1,3,15.0,19.0,1,3,1,523.0,207299,204211,30244
0,3,2,2,1,3,16.0,22.0,1,3,1,489.0,207299,204211,30244
0,2,2,2,1,3,13.5,19.0,1,3,1,489.0,207299,204211,30244
0,2,2,2,1,3,13.5,19.0,1,3,1,489.0,207299,204211,30244
0,0,2,2,0,3,22.0,30.0,0,4,1,413.0,35179,30047,5042
0,3,5,2,0,3,15.0,20.0,1,3,1,523.0,207299,204211,30244
0,2,2,2,0,3,14.0,20.0,1,3,1,465.5,207299,204211,30244
0,2,2,2,0,3,14.0,20.0,1,3,1,465.5,207299,204211,30244
0,2,2,2,1,5,14.5,18.5,1,3,1,475.5,207299,204211,30244
0,2,2,2,1,5,14.5,18.5,1,3,1,475.5,207299,204211,30244
0,2,2,2,0,5,15.0,20.0,1,4,1,452.5,207299,204211,30244
0,2,2,2,0,5,15.0,20.0,1,4,1,452.5,207299,204211,30244
0,3,5,3,0,5,15.0,15.0,1,2,1,589.0,35179,30047,5042
0,3,5,3,0,5,15.0,15.0,1,2,1,589.0,35179,30047,5042
0,3,5,2,0,3,15.0,20.0,1,3,1,523.0,207299,204211,30244
0,3,2,2,0,6,20.0,27.0,2,5,1,397.0,103217,106583,20848
0,3,2,2,1,6,19.0,25.0,2,5,1,426.0,103217,106583,20848
0,3,2,2,1,6,19.0,25.0,2,5,1,426.0,103217,106583,20848
0,0,2,2,1,5,20.0,29.0,2,4,1,445.0,35179,30047,5042
0,3,2,6,0,6,19.0,26.0,2,5,1,406.0,35179,30047,5042
0,3,2,6,0,6,19.0,26.0,2,5,1,406.0,35179,30047,5042
0,3,2,2,1,6,19.0,25.0,2,5,1,426.0,35179,30047,5042
0,3,2,2,1,6,19.0,25.0,2,5,1,426.0,35179,30047,5042
0,3,2,2,0,6,20.0,27.0,2,5,1,397.0,35179,30047,5042
0,3,2,2,0,6,20.0,27.0,2,5,1,397.0,35179,30047,5042
0,3,2,3,0,6,18.0,24.0,2,4,1,446.0,537013,550311,94829
0,3,2,3,0,5,18.0,24.0,2,4,1,446.0,537013,550311,94829
0,3,2,2,0,6,16.0,23.0,2,4,1,480.0,537013,550311,94829
0,3,2,2,0,5,16.0,23.0,2,4,1,480.0,537013,550311,94829
0,3,2,2,1,6,17.0,24.0,2,4,1,450.0,103217,106583,20848
0,3,2,2,1,6,17.0,24.0,2,4,1,450.0,103217,106583,20848
0,3,2,2,0,6,18.0,26.0,2,5,1,427.0,103217,106583,20848
0,3,2,2,0,6,18.0,26.0,2,5,1,427.0,103217,106583,20848
0,0,2,2,1,6,20.0,29.0,2,4,1,445.0,103217,106583,20848
0,0,2,2,1,5,20.0,29.0,2,4,1,445.0,103217,106583,20848
0,3,2,6,0,6,19.0,26.0,2,5,1,406.0,103217,106583,20848
0,3,2,6,0,6,19.0,26.0,2,5,1,406.0,103217,106583,20848
0,3,2,2,0,6,18.0,26.0,2,5,1,427.0,35179,30047,5042
0,3,2,6,0,6,19.0,26.0,2,5,1,408.0,35179,30047,5042
0,0,2,2,1,6,20.0,28.0,2,4,1,449.0,35179,30047,5042
0,0,2,2,1,6,20.0,28.0,2,4,1,449.0,35179,30047,5042
0,3,3,3,1,5,18.0,23.0,2,4,1,440.0,180991,179188,228293
0,0,2,2,0,6,22.0,30.0,0,5,1,411.0,35179,30047,5042
0,3,2,2,1,3,18.0,25.0,2,4,1,424.0,23666,32068,28486
0,3,2,2,1,3,18.0,25.0,2,4,1,424.0,23666,32068,28486
0,3,2,2,0,3,19.0,26.0,2,4,1,410.0,23666,32068,28486
0,3,2,2,0,3,19.0,26.0,2,4,1,410.0,23666,32068,28486
0,3,2,3,0,3,18.0,24.0,2,4,1,447.0,207299,204211,30244
0,3,2,3,0,3,18.0,24.0,2,4,1,447.0,207299,204211,30244
0,3,3,3,1,5,18.0,23.0,2,4,1,440.0,180991,179188,228293
0,3,2,2,0,3,16.0,23.0,2,3,1,475.0,207299,204211,30244
0,3,2,3,1,5,17.0,24.0,2,3,1,463.0,35179,30047,5042
0,3,2,3,1,5,17.0,24.0,2,3,1,463.0,35179,30047,5042
0,3,2,3,0,5,18.0,25.0,2,4,1,440.0,35179,30047,5042
0,3,2,3,0,5,18.0,25.0,2,4,1,440.0,35179,30047,5042
0,0,2,2,1,3,20.0,28.0,2,4,1,450.0,35179,30047,5042
0,0,2,2,1,3,20.0,28.0,2,4,1,450.0,35179,30047,5042
0,3,2,6,0,5,20.0,26.0,2,4,1,403.0,35179,30047,5042
0,3,2,6,0,5,20.0,26.0,2,4,1,403.0,35179,30047,5042
0,3,2,2,0,3,16.0,23.0,2,3,1,475.0,207299,204211,30244
0,3,3,6,1,5,17.0,25.0,2,4,1,446.0,180991,179188,228293
0,3,3,6,1,5,17.0,25.0,2,4,1,446.0,180991,179188,228293
0,3,3,3,1,5,22.0,24.0,2,4,1,394.0,180991,179188,228293
0,0,2,2,0,6,22.0,31.0,0,5,1,406.0,35179,30047,5042
0,0,2,2,0,5,22.0,31.0,0,5,1,406.0,35179,30047,5042
0,0,2,2,0,6,22.0,30.0,0,5,1,411.0,103217,106583,20848
0,0,2,2,0,6,22.0,30.0,0,5,1,411.0,103217,106583,20848
0,0,2,2,0,6,22.0,31.0,0,5,1,406.0,103217,106583,20848
0,0,2,2,0,5,22.0,31.0,0,5,1,406.0,103217,106583,20848
0,0,2,2,0,6,22.0,30.0,0,5,1,411.0,35179,30047,5042
0,3,2,8,1,5,18.0,22.0,2,4,1,452.0,178914,185615,228947
0,3,2,8,1,5,18.0,22.0,2,4,1,452.0,178914,185615,228947
0,3,2,8,0,5,19.0,24.0,2,4,1,431.0,178914,185615,228947
0,3,2,8,0,5,19.0,24.0,2,4,1,431.0,178914,185615,228947
0,3,2,8,1,5,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,1,5,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,0,5,20.0,23.0,2,4,1,422.0,178914,185615,228947
0,3,2,8,0,5,20.0,23.0,2,4,1,422.0,178914,185615,228947
0,3,3,6,1,5,17.0,23.0,2,3,1,459.0,180991,179188,228293
0,3,3,6,1,5,17.0,23.0,2,3,1,459.0,180991,179188,228293
0,3,3,3,1,5,18.0,23.0,2,4,1,443.0,180991,179188,228293
0,3,3,3,1,5,18.0,23.0,2,4,1,443.0,180991,179188,228293
0,3,2,2,1,5,19.0,24.0,2,4,1,429.0,35179,30047,5042
0,3,2,2,1,5,19.0,24.0,2,4,1,429.0,35179,30047,5042
0,3,2,2,0,5,20.0,26.0,2,4,1,406.0,35179,30047,5042
0,3,2,2,0,5,20.0,26.0,2,4,1,406.0,35179,30047,5042
0,3,2,8,0,7,19.0,24.0,2,4,1,431.0,178914,185615,228947
0,3,2,8,1,7,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,1,7,19.0,22.0,2,4,1,441.0,178914,185615,228947
0,3,2,8,0,7,19.0,23.0,2,4,1,427.0,178914,185615,228947
0,3,2,8,0,7,19.0,23.0,2,4,1,427.0,178914,185615,228947
0,3,2,5,1,7,19.0,21.0,2,4,1,448.0,178914,185615,228947
0,3,2,5,1,7,19.0,21.0,2,4,1,448.0,178914,185615,228947
0,3,2,2,1,6,18.0,25.0,2,4,1,424.0,23666,32068,28486
0,3,2,2,1,6,18.0,25.0,2,4,1,424.0,23666,32068,28486
0,3,2,2,0,6,19.0,26.0,2,5,1,410.0,23666,32068,28486
0,3,2,2,0,6,19.0,26.0,2,5,1,410.0,23666,32068,28486
0,3,2,3,0,6,18.0,24.0,2,4,1,447.0,207299,204211,30244
0,3,2,3,0,5,18.0,24.0,2,4,1,447.0,207299,204211,30244
0,3,2,2,0,6,16.0,23.0,2,4,1,479.0,207299,204211,30244
0,3,2,2,0,5,16.0,23.0,2,4,1,479.0,207299,204211,30244
0,3,2,3,1,7,17.0,24.0,2,4,1,461.0,35179,30047,5042
0,3,2,3,1,7,17.0,24.0,2,4,1,461.0,35179,30047,5042
0,3,2,3,0,7,18.0,25.0,2,4,1,440.0,35179,30047,5042
0,3,2,3,0,7,18.0,25.0,2,4,1,440.0,35179,30047,5042
0,3,2,8,0,7,19.0,24.0,2,4,1,431.0,178914,185615,228947
0,3,2,3,1,3,15.0,20.0,1,3,1,524.0,537013,550311,94829
0,3,2,8,1,7,18.0,23.0,2,4,1,446.0,178914,185615,228947
0,0,2,2,0,3,22.0,30.0,0,4,1,413.0,103217,106583,20848
0,3,2,3,0,3,18.0,24.0,2,4,1,447.0,537013,550311,94829
0,3,2,3,0,3,18.0,24.0,2,4,1,447.0,537013,550311,94829
0,3,2,2,0,3,16.0,23.0,2,3,1,476.0,537013,550311,94829
0,3,2,2,0,3,16.0,23.0,2,3,1,476.0,537013,550311,94829
0,0,2,2,1,3,19.0,22.0,2,3,1,506.0,103217,106583,20848
0,0,2,2,1,3,19.0,22.0,2,3,1,506.0,103217,106583,20848
0,3,2,3,1,5,17.0,24.0,2,3,1,463.0,103217,106583,20848
0,3,2,3,1,5,17.0,24.0,2,3,1,463.0,103217,106583,20848
0,3,2,3,0,5,18.0,25.0,2,4,1,440.0,103217,106583,20848
0,3,2,3,0,5,18.0,25.0,2,4,1,440.0,103217,106583,20848
0,0,2,2,1,3,20.0,28.0,2,4,1,450.0,103217,106583,20848
0,0,2,2,1,3,20.0,28.0,2,4,1,450.0,103217,106583,20848
0,3,2,6,0,5,20.0,26.0,2,4,1,403.0,103217,106583,20848
0,3,2,6,0,5,20.0,26.0,2,4,1,403.0,103217,106583,20848
0,3,2,2,1,5,19.0,24.0,2,4,1,429.0,103217,106583,20848
0,3,2,2,1,5,19.0,24.0,2,4,1,429.0,103217,106583,20848
0,3,2,2,0,5,20.0,26.0,2,4,1,406.0,103217,106583,20848
0,3,2,2,0,5,20.0,26.0,2,4,1,406.0,103217,106583,20848
0,0,2,2,0,3,22.0,30.0,0,4,1,413.0,103217,106583,20848
0,3,2,8,1,7,18.0,23.0,2,4,1,446.0,178914,185615,228947
0,3,2,3,1,3,15.0,20.0,1,3,1,524.0,537013,550311,94829
0,3,2,2,0,6,20.0,27.0,2,5,1,397.0,103217,106583,20848
0,3,2,3,0,3,15.0,21.0,1,3,1,522.0,537013,550311,94829
0,3,2,8,0,5,13.0,18.0,1,2,1,601.0,108257,109657,110614
0,3,2,8,1,6,14.0,18.0,1,3,1,570.0,108257,109657,110614
0,3,2,8,1,5,14.0,18.0,1,3,1,570.0,108257,109657,110614
0,3,2,8,0,6,15.0,19.0,1,3,1,537.0,108257,109657,110614
0,3,2,8,0,5,15.0,19.0,1,3,1,537.0,108257,109657,110614
0,3,2,6,1,7,17.0,20.0,1,4,1,483.0,178914,185615,228947
0,3,2,6,1,5,17.0,20.0,1,4,1,483.0,178914,185615,228947
0,3,6,7,1,6,17.0,21.0,1,4,1,478.0,104456,119597,130025
0,3,6,7,1,5,17.0,21.0,1,4,1,478.0,104456,119597,130025
0,3,2,8,0,6,13.0,18.0,1,2,1,601.0,108257,109657,110614
0,3,3,6,1,6,16.0,21.0,1,4,1,503.0,180991,179188,228293
0,3,3,1,1,6,16.0,20.0,1,4,1,505.0,180991,179188,228293
0,3,3,1,1,6,16.0,20.0,1,4,1,505.0,180991,179188,228293
0,3,3,6,1,6,17.0,21.0,1,4,1,481.0,180991,179188,228293
0,3,3,6,1,6,17.0,21.0,1,4,1,481.0,180991,179188,228293
0,3,3,1,1,6,17.0,21.0,1,4,1,482.0,180991,179188,228293
0,3,3,1,1,6,17.0,21.0,1,4,1,482.0,180991,179188,228293
0,3,2,3,1,6,15.0,21.0,1,3,1,521.0,207299,204211,30244
0,3,2,3,1,6,15.0,21.0,1,3,1,521.0,207299,204211,30244
0,3,2,3,0,6,15.0,21.0,1,3,1,522.0,207299,204211,30244
0,3,3,6,1,6,16.0,21.0,1,4,1,503.0,180991,179188,228293
0,3,2,3,0,6,15.0,21.0,1,3,1,522.0,207299,204211,30244
0,3,2,8,1,5,13.0,17.0,1,2,1,608.0,108257,109657,110614
0,3,5,3,0,7,15.0,15.0,1,2,1,589.0,103217,106583,20848
0,3,2,3,1,5,16.0,21.0,1,3,1,488.0,537013,550311,94829
0,3,2,3,0,6,16.0,22.0,1,3,1,497.0,537013,550311,94829
0,3,2,3,0,5,16.0,22.0,1,3,1,497.0,537013,550311,94829
0,3,5,2,1,6,15.0,19.0,1,3,1,523.0,537013,550311,94829
0,3,2,2,1,6,16.0,22.0,1,3,1,495.0,537013,550311,94829
0,3,5,2,1,5,15.0,19.0,1,3,1,523.0,537013,550311,94829
0,3,2,2,1,5,16.0,22.0,1,3,1,495.0,537013,550311,94829
0,2,2,2,1,6,13.5,19.0,1,3,1,509.0,537013,550311,94829
0,2,2,2,1,5,13.5,19.0,1,3,1,509.0,537013,550311,94829
0,3,2,8,1,6,13.0,17.0,1,2,1,608.0,108257,109657,110614
0,3,5,2,0,6,15.0,20.0,1,3,1,523.0,537013,550311,94829
0,2,2,2,0,6,14.0,20.0,1,4,1,466.0,537013,550311,94829
0,2,2,2,0,5,14.0,20.0,1,4,1,466.0,537013,550311,94829
0,2,2,2,1,7,14.5,18.5,1,4,1,480.0,537013,550311,94829
0,2,2,2,1,7,14.5,18.5,1,4,1,480.0,537013,550311,94829
0,2,2,2,0,7,15.0,20.0,1,4,1,452.0,537013,550311,94829
0,3,2,3,0,3,15.0,21.0,1,3,1,522.0,537013,550311,94829
0,3,2,3,1,7,16.0,18.0,1,3,1,532.0,103217,106583,20848
0,3,2,3,1,7,16.0,18.0,1,3,1,532.0,103217,106583,20848
0,3,5,3,0,7,15.0,15.0,1,2,1,589.0,103217,106583,20848
0,3,5,2,0,5,15.0,20.0,1,3,1,523.0,537013,550311,94829
0,3,2,3,1,6,16.0,21.0,1,3,1,488.0,537013,550311,94829
0,3,2,3,1,6,15.0,21.0,1,3,1,523.0,207299,204211,30244
0,3,2,3,1,6,16.0,21.0,1,4,1,489.0,207299,204211,30244
0,3,2,3,1,5,15.0,21.0,1,3,1,523.0,537013,550311,94829
